------interval = 1------
value: 0.9848885286291506  |   index : 18  | accuracy: 3.582657034870584E-5
value: 1.1639004078861388  |   index : 23  | accuracy: 1.7397292705723954E-4
value: 2.669358286194387  |   index : 31  | accuracy: 0.0021914546077169005
value: 3.1189530110589865  |   index : 33  | accuracy: 1.0153771879191061E-4
value: 3.3447127646734613  |   index : 34  | accuracy: 0.0013022650074415094
value: 3.0383306678284643  |   index : 65  | accuracy: 5.535399533254989E-8
value: 2.7986920855625117  |   index : 66  | accuracy: 4.609149312742858E-4
value: 0.9873046367018783  |   index : 81  | accuracy: 3.379248455836568E-7
value: 0.9809363826404577  |   index : 86  | accuracy: 6.365127611240993E-5
value: 0.9992153358720524  |   index : 91  | accuracy: 2.202281428727407E-5
------interval = 9------
value: 0.9105693602432872  |   index : 11  | accuracy: 4.835729571007887E-6
value: 0.9864932112645172  |   index : 18  | accuracy: 2.57500636024715E-6
value: 2.703076854947269  |   index : 31  | accuracy: 0.0011369418787428032
value: 3.1117919174643673  |   index : 33  | accuracy: 5.128126147089526E-5
value: 3.316730561897643  |   index : 34  | accuracy: 7.830036721870264E-4
------interval = 10------
value: 0.9097343206913276  |   index : 11  | accuracy: 6.972910533367485E-7
value: 2.7305874462986854  |   index : 31  | accuracy: 7.568326365046404E-4
value: 3.109540053323509  |   index : 33  | accuracy: 5.070892108883067E-6
value: 3.29495326344086  |   index : 34  | accuracy: 4.7425072807580327E-4
------interval = 11------
value: 2.753265832991444  |   index : 31  | accuracy: 5.143092229862939E-4
value: 3.279687876735866  |   index : 34  | accuracy: 2.3303203125299738E-4
value: 3.2078170776793637  |   index : 64  | accuracy: 6.182899126711302E-5
value: 0.9905125884480621  |   index : 88  | accuracy: 9.321429100390783E-6
------interval = 12------
value: 2.770903016473676  |   index : 31  | accuracy: 3.110702411859087E-4
value: 0.9985444835062766  |   index : 82  | accuracy: 9.50508983234233E-9
value: 0.9912330926174652  |   index : 87  | accuracy: 2.5738303502825275E-5
------interval = 13------
------interval = 14------
------interval = 15------
value: 1.0118536246679504  |   index : 84  | accuracy: 5.13743980910964E-5
------interval = 16------
------interval = 17------
------interval = 18------
------interval = 19------
------interval = 20------
------interval = 21------
------interval = 22------
------interval = 23------
------interval = 24------
------interval = 25------
------interval = 26------
------interval = 27------
------interval = 28------
------interval = 29------
------interval = 30------
------interval = 31------
------interval = 32------
------interval = 33------
------interval = 34------
------interval = 35------
------interval = 36------
------interval = 37------
------interval = 38------
------interval = 39------
------interval = 40------
------interval = 41------
------interval = 42------
------interval = 43------
------interval = 44------
------interval = 45------
------interval = 46------
------interval = 47------
------interval = 48------
------interval = 49------
